date,direction,width_pct,entry,sl,target,exit,outcome,raw_move,pnl,win,P,R1,S1
2025-11-04,SHORT,0.22,12695.75,12724.25,12593.0,12645.0,EOD,50.75,452.5,True,12710.0,12799.0,12593.0
2025-11-06,LONG,0.101,12592.92,12579.75,12637.67,12637.42,TARGET,44.5,390.0,True,12586.33,12637.67,12547.67
2025-11-07,LONG,0.137,12617.25,12599.42,12660.67,12660.42,TARGET,43.17,376.67,True,12608.33,12660.67,12538.67
2025-11-10,LONG,0.09,12634.25,12622.42,12656.67,12656.42,TARGET,22.17,166.67,True,12628.33,12656.67,12588.67
2025-11-14,SHORT,0.055,13268.75,13276.58,13186.33,13276.83,SL,-8.08,-135.83,False,13272.67,13366.33,13186.33
2025-11-18,SHORT,0.077,12913.75,12924.25,12830.0,12830.25,TARGET,83.5,780.0,True,12919.0,12998.0,12830.0
2025-11-19,LONG,0.254,12864.92,12831.75,12956.67,12956.42,TARGET,91.5,860.0,True,12848.33,12956.67,12772.67
2025-11-20,LONG,0.003,12949.75,12948.92,13037.67,12948.67,SL,-1.08,-65.83,False,12949.33,13037.67,12860.67
2025-11-25,LONG,0.224,12982.75,12953.25,13031.0,13030.75,TARGET,48.0,425.0,True,12968.0,13031.0,12934.0
2025-11-26,LONG,0.211,13096.42,13068.25,13161.67,13161.42,TARGET,65.0,595.0,True,13082.33,13161.67,13030.67
2025-11-27,SHORT,0.023,13172.25,13175.75,13123.0,13176.0,SL,-3.75,-92.5,False,13174.0,13228.0,13123.0
2025-11-28,LONG,0.0,13173.25,13172.75,13196.0,13195.75,TARGET,22.5,170.0,True,13173.0,13196.0,13150.0
2025-12-01,LONG,0.276,13304.92,13267.75,13381.67,13381.42,TARGET,76.5,710.0,True,13286.33,13381.67,13227.67
2025-12-03,LONG,0.032,13484.08,13479.25,13542.33,13542.08,TARGET,58.0,525.0,True,13481.67,13542.33,13425.33
2025-12-04,SHORT,0.037,13561.25,13566.75,13529.0,13529.25,TARGET,32.0,265.0,True,13564.0,13604.0,13529.0
2025-12-05,LONG,0.062,13537.08,13528.25,13583.33,13583.08,TARGET,46.0,405.0,True,13532.67,13583.33,13490.33
2025-12-09,SHORT,0.0,13559.75,13560.25,13520.0,13520.25,TARGET,39.5,340.0,True,13560.0,13600.0,13520.0
2025-12-10,LONG,0.076,13556.08,13545.25,13590.33,13590.08,TARGET,34.0,285.0,True,13550.67,13590.33,13521.33
2025-12-15,LONG,0.283,13928.58,13888.75,14107.33,14107.08,TARGET,178.5,1730.0,True,13908.67,14107.33,13749.33
2025-12-16,SHORT,0.114,14070.75,14087.25,13990.0,14087.5,SL,-16.75,-222.5,False,14079.0,14184.0,13990.0
2025-12-17,LONG,0.151,14113.58,14091.75,14189.33,14126.0,EOD,12.42,69.17,True,14102.67,14189.33,14037.33
2025-12-18,LONG,0.031,14145.08,14140.25,14184.33,14140.0,SL,-5.08,-105.83,False,14142.67,14184.33,14105.33
2025-12-19,SHORT,0.057,14136.75,14145.25,14099.0,14099.25,TARGET,37.5,320.0,True,14141.0,14191.0,14099.0
2025-12-22,LONG,0.017,14115.08,14112.25,14147.33,14147.08,TARGET,32.0,265.0,True,14113.67,14147.33,14082.33
2025-12-24,LONG,0.161,14493.58,14469.75,14603.33,14571.0,EOD,77.42,719.17,True,14481.67,14603.33,14383.33
2025-12-26,LONG,0.16,14579.58,14555.75,14623.33,14623.08,TARGET,43.5,380.0,True,14567.67,14623.33,14535.33
2026-01-01,SHORT,0.016,14594.25,14597.08,14526.33,14597.33,SL,-3.08,-85.83,False,14595.67,14667.33,14526.33
2026-01-02,LONG,0.0,14583.25,14582.75,14613.0,14612.75,TARGET,29.5,240.0,True,14583.0,14613.0,14553.0
2026-01-05,LONG,0.084,14677.75,14664.92,14737.67,14737.42,TARGET,59.67,541.67,True,14671.33,14737.67,14592.67
2026-01-06,LONG,0.007,14785.75,14784.25,14856.0,14820.0,EOD,34.25,287.5,True,14785.0,14856.0,14715.0
2026-01-07,SHORT,0.119,14833.25,14851.42,14809.67,14809.92,TARGET,23.33,178.33,True,14842.33,14892.67,14809.67
2026-01-08,SHORT,0.025,14812.25,14816.42,14766.67,14766.92,TARGET,45.33,398.33,True,14814.33,14865.67,14766.67
2026-01-09,LONG,0.097,14760.08,14745.25,14825.33,14825.08,TARGET,65.0,595.0,True,14752.67,14825.33,14694.33
2026-01-12,LONG,0.083,14821.08,14808.25,14866.33,14866.08,TARGET,45.0,395.0,True,14814.67,14866.33,14775.33
2026-01-14,LONG,0.161,15141.08,15116.25,15233.33,15233.08,TARGET,92.0,865.0,True,15128.67,15233.33,15048.33
2026-01-16,LONG,0.181,15295.42,15267.25,15359.67,15325.0,EOD,29.58,240.83,True,15281.33,15359.67,15230.67
2026-01-19,LONG,0.046,15302.75,15295.25,15345.0,15344.75,TARGET,42.0,365.0,True,15299.0,15345.0,15260.0
2026-01-27,LONG,0.177,18066.25,18033.75,18268.0,18033.5,SL,-32.75,-382.5,False,18050.0,18268.0,17800.0
2026-02-03,LONG,0.193,15397.75,15367.58,16184.33,16184.08,TARGET,786.33,7808.33,True,15382.67,16184.33,14551.33
2026-02-11,LONG,0.179,16630.75,16600.58,16711.33,16711.08,TARGET,80.33,748.33,True,16615.67,16711.33,16490.33
2026-02-12,SHORT,0.088,16698.75,16713.92,16624.67,16714.17,SL,-15.42,-209.17,False,16706.33,16802.67,16624.67
2026-02-17,SHORT,0.014,16321.92,16324.75,16233.67,16233.92,TARGET,88.0,825.0,True,16323.33,16410.67,16233.67
2026-02-23,LONG,0.077,16372.92,16359.75,16437.67,16437.42,TARGET,64.5,590.0,True,16366.33,16437.67,16307.67
2026-02-25,LONG,0.154,16639.42,16613.25,16752.67,16695.0,EOD,55.58,500.83,True,16626.33,16752.67,16525.67
2026-02-26,SHORT,0.012,16704.75,16707.25,16662.0,16662.25,TARGET,42.5,370.0,True,16706.0,16752.0,16662.0
2026-02-27,LONG,0.082,16631.42,16617.25,16712.67,16679.0,EOD,47.58,420.83,True,16624.33,16712.67,16549.67
2026-03-02,LONG,0.245,16772.75,16731.25,16861.0,16860.75,TARGET,88.0,825.0,True,16752.0,16861.0,16684.0
2026-03-09,SHORT,0.279,16812.25,16859.75,16715.0,16715.25,TARGET,97.0,915.0,True,16836.0,17004.0,16715.0
2026-03-10,LONG,0.058,16766.75,16756.58,16823.33,16823.08,TARGET,56.33,508.33,True,16761.67,16823.33,16690.33
2026-03-12,SHORT,0.121,16856.92,16877.75,16769.67,16769.92,TARGET,87.0,815.0,True,16867.33,16944.67,16769.67
2026-03-13,SHORT,0.258,16780.42,16824.25,16706.67,16706.92,TARGET,73.5,680.0,True,16802.33,16854.67,16706.67
2026-03-18,SHORT,0.141,16281.25,16304.75,16182.0,16182.25,TARGET,99.0,935.0,True,16293.0,16381.0,16182.0
2026-03-25,LONG,0.172,14374.92,14349.75,14598.67,14598.42,TARGET,223.5,2180.0,True,14362.33,14598.67,14150.67
